;ESTADO_PROMESAS;MORA;VECES_EN_COBRANZAS;CUOTAS_ADEUDADAS_0;CUOTAS_ADEUDADAS_1;CUOTAS_ADEUDADAS_2;DIA_SEMANA_Friday;DIA_SEMANA_Monday;DIA_SEMANA_Thursday;DIA_SEMANA_Tuesday;DIA_SEMANA_Wednesday;PERIODO_DIA_mañana;PERIODO_DIA_tarde;PERIODO_DIA_noche;ANTIGUEDAD;DEUDAVENCIDA_ACTUAL;DEUDAVENCIDA_1MES;DEUDAVENCIDA_2MESES;DEUDA_TOTAL
39;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0.5;0.7212974770090723;0.8077045993610529;0.771334265952178;0.782371587648633
40;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0.5;0.43400509836162393;0.0;0.0;0.4157448837834312
41;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0.5;0.67658362544574;0.0;0.0;0.6007644176230122
42;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.5;0.5113114530143819;0.6801968301383344;0.0;0.5291748547866353
43;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0.5;0.8083061522590669;0.0;0.0;0.6500441454533388
44;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.75;0.2972133323436613;0.0;0.0;0.4774932491382675
45;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0.5;0.6532930086268065;0.7673162625324239;0.7328123796894894;0.4710443323349254
46;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0.0;0.30600445414506405;0.0;0.0;0.6526708602561369
47;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0.25;0.6061843478169682;0.7377352554976241;0.0;0.3847597295820129
48;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0.25;0.6534974592010021;0.7671555956107253;0.10731025395478518;0.7660497770540184
49;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1.0;0.6018141769195542;0.8154753349730345;0.8236373097588007;0.49668689974140046
50;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0.0;0.7495017219344402;0.0;0.8823844459573748;0.7683430069708435
51;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0.25;0.764678248791318;0.835127491880072;0.0;0.7101836260225232
52;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0.25;0.5113166318378626;0.7369254602611408;0.740107800666037;0.4447504630710335
53;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0.5;0.2923688911298453;0.5262050589221795;0.6612520593961495;0.6275557997502474
54;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0.5;0.5247366310064709;0.7767780232186352;0.0;0.5830060179148226
55;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0.5;0.5701915050426891;0.5868731012016585;0.559500694377004;0.49691294262312513
56;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0.25;0.6347506486983654;0.0;0.0;0.5632149007538121
57;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0.25;0.4924236845609258;0.3151778131861421;0.6257040054226275;0.466846318329762
58;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0.25;0.3229509008171818;0.0;0.35959776840883134;0.4308532074474818
59;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0.5;0.5527339796721407;0.7045936536631926;0.672769542152888;0.39427802122567224
60;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0.25;0.5400395940817311;0.6986203938090845;0.6674208997928931;0.5675239114586059
61;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.25;0.4430694972277711;0.0;0.6090329061969018;0.4395650970356546
62;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1.0;0.6040514992963371;0.7404411551455193;0.7039546546156136;0.4060415648659206
63;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0.75;0.4644554135877397;0.711188158455779;0.0;0.4932398926571917
64;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0.75;0.4429578214474772;0.0;0.7305438483946841;0.33265284277553286
65;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0.5;0.4891663489592306;0.0;0.0;0.4808962507299994
66;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0.25;0.8125250381916835;0.0;0.0;0.7019188137671817
67;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.2771828754043929;0.0;0.0;0.7296949436293816
68;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0.25;0.18582264173067864;0.0;0.0;0.5465302947501378
69;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.5323214409549129;0.6974574643288356;0.6670660742372807;0.5740618671338849
70;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1.0;0.6117959826001691;0.0;0.0;0.6652125613894297
71;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0.25;0.8015963301187996;0.8577527754941671;0.7423454845415294;0.741223080485643
72;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.5;0.5098348685935634;0.0;0.0;0.4082776243179167
73;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0.25;0.5356498569552373;0.694767209475198;0.7828401228015064;0.2915924856038521
74;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.75;0.5493670858667419;0.7033008017567444;0.0;0.4249494510843692
75;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0.5;0.4782346283067809;0.7394270053562814;0.0;0.4755221920786039
76;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0.25;0.5953195223586614;0.8125029478803346;0.0;0.7029978509764285
77;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.75;0.5365441874596804;0.0;0.0;0.21715416775191487
78;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0.75;0.6505307321191804;0.0;0.7306422010099725;0.5155248935125869
79;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0.5;0.5626177844548816;0.7585086358400924;0.0;0.3305916882429192
80;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0.0;0.44682756866559714;0.6363984851615947;0.6047088439086094;0.46984917435501217
81;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0.5;0.5345957318727668;0.5909923653214924;0.7008305546798366;0.3583851317910185
82;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0.5;0.5362677168212411;0.7752713416600029;0.7853649478187221;0.4949289676475106
83;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.5;0.6074469557419071;0.0;0.0;0.6209253815423772
84;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0.75;0.8132591533869027;0.8647356729447178;0.825501479629312;0.8353429181179786
85;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0.5;0.6082561701410452;0.7390856978071733;0.4236406609856131;0.6760032311359219
86;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.4506050340721064;0.6426474034491739;0.0;0.4462512690277598
87;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0.25;0.6907363555418102;0.7604372072145961;0.0;0.7480797069125942
